name,model_type,hidden_size,learning_rate,num_episodes,epsilon,online_learning_rate,memory_size,entropy_coefficient,training_agent_names,num_training_agents,cooperation_rate,retaliation_rate,forgiveness_rate,win_rate,avg_points_per_round,avg_score_per_game,score_variance,training_agents
Bot_205,RNN,9,0.009578071326363763,34,0.08592725681051358,0.12573018745038947,13,0.0023048106156034957,"AlwaysCooperate,AlwaysDefect,TwoTitsForTat,Opposite,TitForTwoTats",5,0.16046901172529313,0.7627249854848074,0.8678038379530917,0.1864406779661017,1.3529313232830822,268.96610169491527,14896.507325481185,5
Bot_206,LSTM,29,0.009813673651892648,37,0.1024192181937886,0.06345018277004805,11,0.0021348117893754287,"GrimTrigger,Pavlov,TitforTat",3,0.13115577889447236,0.7969816001653918,0.38565022421524664,0.3389830508474576,1.5922948073701844,318.79661016949154,36785.1789715599,3
Bot_207,LSTM,19,0.006111182080687342,49,0.08410488548013341,0.06134755928650401,13,0.0018120541739797139,"AlwaysDefect,Random,TwoTitsForTat,GrimTrigger,TitForTwoTats,AlwaysCooperate",6,0.08743718592964825,0.8299522673031027,0.7338129496402878,0.3050847457627119,1.5236180904522614,303.22033898305085,23169.493823613906,6
Bot_208,RNN,15,0.012270128979653743,31,0.07361033674820691,0.11212007646696337,12,0.001192973180705751,"AlwaysDefect,TwoTitsForTat,AlwaysCooperate",3,0.19246231155778895,0.760542487815215,0.7240740740740741,0.1694915254237288,1.597822445561139,320.22033898305085,39356.1717897156,3
Bot_209,LSTM,13,0.028431435101431958,34,0.12153872706153454,0.09334502279943124,16,0.0024868725220536033,"MajorityRule,AlwaysCooperate,Random,Pavlov,Opposite,TwoTitsForTat",6,0.12311557788944724,0.8184500393391031,0.8177570093457944,0.2542372881355932,1.4450586264656617,287.20338983050846,14797.755242746336,6
Bot_210,RNN,17,0.006229979430994643,44,0.09087507834308822,0.07494916869657745,15,0.008632692171842201,"TitForTwoTats,AlwaysDefect,Opposite,GrimTrigger,Random,TwoTitsForTat",6,0.2819095477386935,0.6853801169590643,0.9235181644359464,0.1016949152542373,1.230820770519263,234.40677966101694,25179.631140476875,6
Bot_211,RNN,29,0.01381044872292268,28,0.08477807875009624,0.05219493930602682,11,0.0028458761686291426,"GrimTrigger,Random,Opposite,AlwaysDefect",4,0.27839195979899495,0.6426008021954823,0.8839285714285715,0.1694915254237288,1.4775544388609716,296.3220338983051,31714.964090778518,4
Bot_212,RNN,31,0.01616489065571874,33,0.15899619125389833,0.09421644748012784,15,0.007822364393381255,"AlwaysDefect,Opposite,AlwaysCooperate,TitforTat,Pavlov",5,0.22160804020100502,0.7117747117747117,0.9133709981167607,0.1864406779661017,1.2108877721943048,239.61016949152543,8787.525998276358,5
Bot_213,RNN,14,0.027337562436362102,45,0.181768641194976,0.0947936509453222,14,0.0024052016162730847,"Random,TwoTitsForTat,Opposite,AlwaysDefect,Pavlov,TitForTwoTats",6,0.15912897822445563,0.7916018662519441,0.8966861598440545,0.1016949152542373,1.3700167504187604,267.03389830508473,19325.795461074405,6
Bot_214,LSTM,17,0.00829218947212757,47,0.0863202880159362,0.19178914556702112,14,0.0010926087929191166,"AlwaysDefect,Random,Opposite,TwoTitsForTat",4,0.00016750418760469013,0.9405503113074914,1.0,0.4576271186440678,1.663819095477387,329.40677966101697,34918.17351335822,4
Bot_215,RNN,23,0.04824814175570916,48,0.08905711084691467,0.11625562941245318,13,0.0066726641677570244,"AlwaysDefect,MajorityRule,Pavlov,Opposite,AlwaysCooperate,TitForTwoTats,GrimTrigger,TitforTat",8,0.22780569514237856,0.7120063821300359,0.8910012674271229,0.11864406779661017,1.383249581239531,275.8135593220339,34234.931341568525,8
Bot_216,LSTM,17,0.007902875024391928,24,0.16265133254336042,0.1478024303613255,14,0.007561953611001254,"TwoTitsForTat,Random,Opposite",3,0.11842546063651592,0.8146560124732021,0.837465564738292,0.22033898305084745,1.428140703517588,279.23728813559325,19760.486067222064,3
Bot_217,RNN,29,0.013578956610083308,39,0.07501499103636572,0.1643543983951281,14,0.00587755545346562,"AlwaysDefect,Pavlov,Opposite,GrimTrigger,TwoTitsForTat,TitForTwoTats,Random",7,0.39865996649916247,0.5747561218395382,0.8914616497829233,0.1016949152542373,1.1423785594639866,222.35593220338984,11065.754668198791,7
Bot_218,LSTM,8,0.01324689026554134,33,0.16335141481136656,0.08021308329821085,16,0.0012691648128801585,"AlwaysDefect,GrimTrigger,TitforTat,TwoTitsForTat,Pavlov",5,0.12445561139028476,0.8196190476190476,0.7226277372262774,0.2711864406779661,1.3350083752093802,264.8305084745763,6687.428899741455,5
Bot_219,RNN,12,0.0407132324853358,27,0.16878801480968825,0.10609624973696441,16,0.006713266292447663,"TitforTat,TwoTitsForTat,TitForTwoTats,GrimTrigger",4,0.16030150753768843,0.7794763997706861,0.8044871794871795,0.13559322033898305,1.316750418760469,263.33898305084745,10471.715598965815,4
